,Unnamed: 0,sentence_id,screening,label,text,translation
0,0,27247,-3,1,We're 9 million jobs short of that.,Davon fehlen noch 9 Millionen Arbeitsplätze.
1,1,10766,-3,1,"You know, last year up to this time, we've lost 700,000 jobs in America.","Sie wissen, dass wir im letzten Jahr bis zu diesem Zeitpunkt 700.000 Arbeitsplätze in Amerika verloren haben."
2,2,3327,-3,1,"And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott.","Und im November 1975 war ich der erste Präsident, der die Exekutive anwies, über das Handelsministerium und andere Kabinettsabteilungen Maßnahmen zu ergreifen, um sicherzustellen, dass kein amerikanischer Geschäftsmann und keine amerikanische Geschäftsorganisation Juden aufgrund eines arabischen Boykotts diskriminieren darf."
3,3,19700,-3,1,"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.","Und was wir während der Bush-Regierung getan haben, die Kurden waren im Außenministerium, verhandelten und versuchten, ihre Differenzen zu lösen."
4,4,12600,-3,1,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?","Wissen Sie, dass wir kein einziges von unserer Regierung gesponsertes Programm für Kuba haben - um ihnen unsere Geschichte zu erzählen, um ihnen zu sagen, dass wir ihre Freunde sind, dass wir wollen, dass sie wieder frei sind?"
5,5,26071,-3,1,It's illegal right now and has been for years for illegal immigrants to get welfare benefits.,Der Bezug von Sozialleistungen durch illegale Einwanderer ist bereits seit Jahren illegal.
6,6,32496,-3,1,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.","Und das hat viel damit zu tun, dass unsere Steuern so hoch sind, fast die höchsten der Welt."
7,7,24266,-3,1,"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.","Wir haben vier Billionen Dollar Schulden, und nur in Amerika würde man siebzig Prozent davon in fünf Jahren oder weniger finanzieren."
8,8,15712,-3,1,We're in the serious stages of negotiation with the Soviet Union on the strategic arms control talks.,Die Verhandlungen mit der Sowjetunion über die strategischen Rüstungskontrollgespräche befinden sich in einem ernsten Stadium.
9,9,9453,-3,1,"But your rate comes down and the burden also comes down on you for one more reason, and that is every middle-income taxpayer no longer will pay any tax on interest, dividends or capital gains.","Aber Ihr Steuersatz sinkt und die Belastung sinkt auch aus einem weiteren Grund, nämlich dass jeder Steuerzahler mit mittlerem Einkommen keine Steuern mehr auf Zinsen, Dividenden oder Kapitalerträge zahlen wird."
10,10,8466,-3,1,And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,"Und es ist eine Tatsache, dass in der Augustsitzung die vier Mitglieder des Geschäftsordnungsausschusses, die Republikaner, zusammen mit zwei Demokraten gegen die Verabschiedung des Gesetzentwurfs zur Unterstützung des Bildungswesens im Plenum des Repräsentantenhauses gestimmt haben."
11,11,14448,-3,1,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.","Der Fehler, den beide Parteien in Washington mit dem S&L-Geschäft gemacht haben, war die Deregulierung ohne angemessene Kapitalanforderungen, angemessene Aufsicht und Regulierung, angemessene Ausbildung der Führungskräfte."
12,12,1789,-3,1,And he is saying that he is going to pay for it by closing loopholes and deductions.,"Und er sagt, dass er dies durch die Schließung von Schlupflöchern und Abzügen finanzieren wird."
13,13,32725,-3,1,"So we have announcements coming out of Washington and coming out of Iraq, we will be attacking Mosul in three weeks or four weeks.","Es gibt also Ankündigungen aus Washington und aus dem Irak, dass wir Mosul in drei oder vier Wochen angreifen werden."
14,14,27509,-3,1,"And then the president began what I have called an apology tour, of going to various nations in the Middle East and criticizing America.","Und dann begann der Präsident, was ich eine Entschuldigungstour nannte, indem er verschiedene Länder im Nahen Osten besuchte und Amerika kritisierte."
15,15,2336,-3,1,That's one of the unintended consequences of Dodd-Frank.,Das ist eine der unbeabsichtigten Folgen von Dodd-Frank.
16,16,12993,-3,1,We find four times as many projects undertaken and completed in this Administration than in the previous one.,In dieser Verwaltung wurden viermal so viele Projekte in Angriff genommen und abgeschlossen wie in der vorangegangenen.
17,17,17464,-3,1,It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,"Erst mit der Entscheidung des Obersten Gerichtshofs griff die Bundesregierung in eine Politik ein, die schon immer Sache der Bundesstaaten war."
18,18,11247,-3,1,That's what we've been doing over the last eight years and that has actually made us more safe.,"Genau das haben wir in den letzten acht Jahren getan, und das hat uns tatsächlich sicherer gemacht."
19,19,2874,-3,1,"Immediately before the Kansas City convention, he added back another one point eight billion dollars in the defense budget.","Unmittelbar vor dem Kongress in Kansas City stockte er den Verteidigungshaushalt um weitere 1,8 Milliarden Dollar auf."
20,20,26076,-3,1,We reduced the welfare rolls by 2 million already.,Wir haben die Zahl der Sozialhilfeempfänger bereits um 2 Millionen reduziert.
21,21,21706,-3,1,In Houston there's been a 15- percent drop in the crime rate in the last year because of the work the mayor did there in increasing the police force.,"In Houston ist die Kriminalitätsrate im letzten Jahr um 15 Prozent gesunken, weil der Bürgermeister dort die Polizeikräfte aufgestockt hat."
22,22,25315,-3,1,"Georgie Anne, we, believe me, supported the Simpson-Mazzoli bill strongly -- and the bill that came out of the Senate.","Georgie Anne, wir haben, glauben Sie mir, den Simpson-Mazzoli-Gesetzentwurf und den vom Senat verabschiedeten Gesetzentwurf nachdrücklich unterstützt."
23,23,32480,-3,1,But we're bringing the tax rate down from 35 percent to 15 percent.,Aber wir senken den Steuersatz von 35 Prozent auf 15 Prozent.
24,24,8236,-3,1,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.","Es wird mindestens vier Milliarden Dollar pro Jahr mehr kosten, maximal vier und neun Zehntel Milliarden Dollar pro Jahr mehr als wir derzeit ausgeben."
25,25,12198,-3,1,That we spent -- the top 1% receive 223 as opposed to 445 billion in new spending.,Dass wir ausgegeben haben - die obersten 1 % erhalten 223 im Gegensatz zu 445 Milliarden an neuen Ausgaben.
26,26,2326,-3,1,"Now, Governor Romney has said he wants to repeal Dodd-Frank.","Nun hat Gouverneur Romney gesagt, dass er Dodd-Frank aufheben will."
27,27,28160,-3,1,"We've spent 65 years now on the development of a hybrid system, partly private, partly public, and 85% of our people have health insurance, 15% don't.","Wir haben jetzt 65 Jahre mit der Entwicklung eines hybriden Systems verbracht, teils privat, teils öffentlich, und 85 % unserer Bürger sind krankenversichert, 15 % sind es nicht."
28,28,20122,-3,1,There are actually more people in government except for people in defense related jobs.,"Es gibt tatsächlich mehr Menschen in der Regierung, mit Ausnahme von Menschen in verteidigungsbezogenen Berufen."
29,29,28296,-3,1,"It's ironic that there are now -- there is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever.","Es ist eine Ironie des Schicksals, dass der Anteil der Eltern mit Kindern an der Wählerschaft wegen der Überalterung unserer Bevölkerung heute geringer ist als je zuvor in der amerikanischen Geschichte, dass wir aber gleichzeitig die größte Schülergeneration aller Zeiten in den öffentlichen Schulen haben."
30,30,7721,-3,1,"When he selected his vice presidential running mate, he selected a man who had voted against most of these proposals and who opposes them at the present time.","Bei der Wahl seines Vizepräsidentschaftskandidaten wählte er einen Mann, der gegen die meisten dieser Vorschläge gestimmt hatte und sie auch heute noch ablehnt."
31,31,1389,-3,1,But now I think there have been a couple of instances where the Burger Court has made technical rulings where an obviously guilty person was later found to be guilty.,"Aber ich glaube, es gab einige Fälle, in denen der Burger Court technische Entscheidungen getroffen hat, bei denen eine offensichtlich schuldige Person später für schuldig befunden wurde."
32,32,23306,-3,1,"As I told you, we've just got a report that said over the past 13 months, we've created 1.9 million new jobs.","Wie ich bereits sagte, haben wir gerade einen Bericht erhalten, demzufolge wir in den letzten 13 Monaten 1,9 Millionen neue Arbeitsplätze geschaffen haben."
33,33,16783,-3,1,"As a result, we have saved over $9 billion in federal expenditures.",Infolgedessen haben wir über 9 Milliarden Dollar an Bundesausgaben eingespart.
34,34,19702,-3,1,"We're even shipping 3,000 Kurds to Guam.",Wir schicken sogar 3.000 Kurden nach Guam.
35,35,17550,-3,1,"In my opinion, as we deal with this deficit, people from about $70,000 a year on down have to be dealt with very, very carefully, because they are the ones who didn't get any relief the first time around.","Meiner Meinung nach müssen wir bei der Bewältigung dieses Defizits sehr, sehr vorsichtig mit Menschen ab etwa 70.000 Dollar pro Jahr umgehen, denn sie sind diejenigen, die beim ersten Mal nicht entlastet wurden."
